type_query,graphql_time,graphql_size
1,0.4725613594055176,175
1,0.4131350517272949,175
1,0.3994729518890381,175
1,0.37984490394592285,175
1,0.3870735168457031,175
1,0.38686203956604004,175
1,0.383197546005249,175
1,0.44309210777282715,175
1,0.4152519702911377,175
1,0.4054903984069824,175
2,0.4861936569213867,556
2,0.47332143783569336,556
2,0.495166540145874,556
2,0.4750392436981201,556
2,0.4649620056152344,556
2,0.45008349418640137,556
2,0.4484412670135498,556
2,0.46599793434143066,556
2,0.44359755516052246,556
2,0.4603748321533203,556
3,0.48955535888671875,1480
3,0.506782054901123,1480
3,0.6339168548583984,1480
3,0.5067119598388672,1480
3,0.4832875728607178,1480
3,0.5312902927398682,1480
3,0.5072638988494873,1480
3,0.5066797733306885,1480
3,0.5048332214355469,1480
3,0.5233566761016846,1480
