type_query,graphql_time,graphql_size
1,0.5809454917907715,25063
1,0.5040798187255859,25063
1,0.48398637771606445,25063
1,0.44303059577941895,25063
1,0.47708821296691895,25063
1,0.4797325134277344,25063
1,0.4601318836212158,25063
1,0.45105886459350586,25063
1,0.49225735664367676,25063
1,0.4819910526275635,25063
2,0.46556806564331055,18447
2,0.4501810073852539,18447
2,0.43492674827575684,18447
2,0.4277355670928955,18447
2,0.437053918838501,18447
2,0.41996097564697266,18447
2,0.4503350257873535,18447
2,0.4301412105560303,18447
2,0.4437375068664551,18447
2,0.45142555236816406,18447
3,0.7346851825714111,78438
3,0.6261043548583984,78438
3,0.5351214408874512,78438
3,0.5996701717376709,78438
3,0.5126426219940186,78438
3,0.5015642642974854,78438
3,0.6887059211730957,78438
3,0.5445880889892578,78438
3,0.5163836479187012,78438
3,0.5761368274688721,78438
