type_query,graphql_time,graphql_size
1,0.6411471366882324,175
1,0.8492715358734131,175
1,0.6447055339813232,175
1,0.7211394309997559,175
1,0.6801013946533203,175
1,0.6155920028686523,175
1,0.6891682147979736,175
1,0.7637207508087158,175
1,0.6810767650604248,175
1,0.72312331199646,175
2,0.7046868801116943,556
2,0.7772853374481201,556
2,0.8613436222076416,556
2,0.7850708961486816,556
2,0.7551796436309814,556
2,0.6627793312072754,556
2,0.7472143173217773,556
2,0.7423872947692871,556
2,0.7323141098022461,556
2,0.7291731834411621,556
3,0.8386626243591309,1480
3,0.779869794845581,1480
3,0.835435152053833,1480
3,0.8010735511779785,1480
3,0.8934600353240967,1480
3,0.7911043167114258,1480
3,0.9925661087036133,1480
3,0.8815493583679199,1480
3,0.8419158458709717,1480
3,0.9138858318328857,1480
4,1.1221768856048584,7788
4,1.4794104099273682,7788
4,1.2018680572509766,7788
4,1.0120913982391357,7788
4,0.8614261150360107,7788
4,1.105316400527954,7788
4,0.9431438446044922,7788
4,0.9884512424468994,7788
4,1.0180292129516602,7788
4,0.8524649143218994,7788
